ParentLocationCode,ParentLocation,SpatialDimValueCode,Location,Gdp,year,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,Value,Level,Language,DateModified,,,pergdp,,,,,,,,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,,FactValueTranslationID,FactComments
WPR,Western Pacific,AUS,Australia,1397.907917,2010,Sex,Both sexes,BTSX,81.9,81.9,>80.0,EN,2020-12-03T16:00:00.000Z,,,52087.97229,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,1350.534154,2015,Sex,Both sexes,BTSX,82.28,82.28,>80.0,EN,2020-12-03T16:00:00.000Z,,,56707.02208,,,,,,,,,,,,,,,
WPR,Western Pacific,AUS,Australia,1391.95251,2019,Sex,Both sexes,BTSX,83.04,83.04,>80.0,EN,2020-12-03T16:00:00.000Z,,,54875.28596,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,196.7997789,2000,Sex,Both sexes,BTSX,78.17,78.17,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,24564.45829,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,431.1203101,2010,Sex,Both sexes,BTSX,80.39,80.39,>80.0,EN,2020-12-03T16:00:00.000Z,,,46858.04327,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,381.8175659,2015,Sex,Both sexes,BTSX,80.98,80.98,>80.0,EN,2020-12-03T16:00:00.000Z,,,44178.04738,,,,,,,,,,,,,,,
EUR,Europe,AUT,Austria,445.0118727,2019,Sex,Both sexes,BTSX,81.65,81.65,>80.0,EN,2020-12-03T16:00:00.000Z,,,50114.40111,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,5.27279839,2000,Sex,Both sexes,BTSX,65.52,65.52,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,655.1199452,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,65.9516272,2010,Sex,Both sexes,BTSX,69.03,69.03,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,5843.533768,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,53.07437049,2015,Sex,Both sexes,BTSX,70.67,70.67,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,5500.310382,,,,,,,,,,,,,,,
EUR,Europe,AZE,Azerbaijan,48.17423529,2019,Sex,Both sexes,BTSX,71.43,71.43,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4805.753718,,,,,,,,,,,,,,,
AMR,Americas,BHS,Bahamas,10.07045,2010,Sex,Both sexes,BTSX,72.96,72.96,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,136.4639708,,,,,,,,,,,,,,,
AMR,Americas,BHS,Bahamas,11.8906,2015,Sex,Both sexes,BTSX,72.92,72.92,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,234.2355389,,,,,,,,,,,,,,,
AMR,Americas,BHS,Bahamas,13.1644,2019,Sex,Both sexes,BTSX,73.21,73.21,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,305.5496525,,,,,,,,,,,,,,,
AMR,Americas,BHS,Bahamas,8.07647,2000,Sex,Both sexes,BTSX,70.94,70.94,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,228.2135892,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,BHR,Bahrain,28.77659574,2010,Sex,Both sexes,BTSX,74.52,74.52,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,23041.53473,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,BHR,Bahrain,31.0506383,2015,Sex,Both sexes,BTSX,76.46,76.46,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,44141.87814,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,BHR,Bahrain,38.65257979,2019,Sex,Both sexes,BTSX,75.81,75.81,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,40991.80814,,,,,,,,,,,,,,,
EMR,Eastern Mediterranean,BHR,Bahrain,9.06289894,2000,Sex,Both sexes,BTSX,70.47,70.47,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,46591.49161,,,,,,,,,,,,,,,
SEAR,South-East Asia,BGD,Bangladesh,128.6379387,2010,Sex,Both sexes,BTSX,70.29,70.29,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,512.673902,,,,,,,,,,,,,,,
SEAR,South-East Asia,BGD,Bangladesh,195.0786787,2015,Sex,Both sexes,BTSX,73.58,73.58,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1036.534515,,,,,,,,,,,,,,,
SEAR,South-East Asia,BGD,Bangladesh,302.5713205,2019,Sex,Both sexes,BTSX,74.25,74.25,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1076.796698,,,,,,,,,,,,,,,
SEAR,South-East Asia,BGD,Bangladesh,53.36978732,2000,Sex,Both sexes,BTSX,65.59,65.59,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,1219.515506,,,,,,,,,,,,,,,
AMR,Americas,BRB,Barbados,4.6575,2010,Sex,Both sexes,BTSX,75.88,75.88,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,255.7186873,,,,,,,,,,,,,,,
AMR,Americas,BRB,Barbados,4.715,2015,Sex,Both sexes,BTSX,76.22,76.22,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,647.8360955,,,,,,,,,,,,,,,
AMR,Americas,BRB,Barbados,5.209,2019,Sex,Both sexes,BTSX,76.03,76.03,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,653.3272681,,,,,,,,,,,,,,,
AMR,Americas,BRB,Barbados,3.0595,2000,Sex,Both sexes,BTSX,74.5,74.5,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,796.1152068,,,,,,,,,,,,,,,
EUR,Europe,BLR,Belarus,61.75778894,2010,Sex,Both sexes,BTSX,70.39,70.39,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,781.1535777,,,,,,,,,,,,,,,
EUR,Europe,BLR,Belarus,56.4547344,2015,Sex,Both sexes,BTSX,73.82,73.82,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1248.45331,,,,,,,,,,,,,,,
EUR,Europe,BLR,Belarus,64.40964719,2019,Sex,Both sexes,BTSX,74.81,74.81,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1855.740094,,,,,,,,,,,,,,,
EUR,Europe,BLR,Belarus,12.73891213,2000,Sex,Both sexes,BTSX,68.85,68.85,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,418.0689421,,,,,,,,,,,,,,,
EUR,Europe,BEL,Belgium,236.2045329,2000,Sex,Both sexes,BTSX,77.66,77.66,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1621.242961,,,,,,,,,,,,,,,
EUR,Europe,BEL,Belgium,522.6455192,2010,Sex,Both sexes,BTSX,79.85,79.85,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,6853.002854,,,,,,,,,,,,,,,
EUR,Europe,BEL,Belgium,462.1496793,2015,Sex,Both sexes,BTSX,80.71,80.71,>80.0,EN,2020-12-03T16:00:00.000Z,,,7074.681023,,,,,,,,,,,,,,,
EUR,Europe,BEL,Belgium,535.2887152,2019,Sex,Both sexes,BTSX,81.42,81.42,>80.0,EN,2020-12-03T16:00:00.000Z,,,9879.268533,,,,,,,,,,,,,,,
AMR,Americas,BLZ,Belize,1.4607979,2010,Sex,Both sexes,BTSX,73.39,73.39,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,20722.07049,,,,,,,,,,,,,,,
AMR,Americas,BLZ,Belize,1.72170099,2015,Sex,Both sexes,BTSX,74.05,74.05,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,22634.08565,,,,,,,,,,,,,,,
AMR,Americas,BLZ,Belize,1.98251854,2019,Sex,Both sexes,BTSX,74.41,74.41,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,23551.93009,,,,,,,,,,,,,,,
AMR,Americas,BLZ,Belize,0.83207245,2000,Sex,Both sexes,BTSX,70.34,70.34,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,13636.41675,,,,,,,,,,,,,,,
AFR,Africa,BEN,Benin,3.51999133,2000,Sex,Both sexes,BTSX,56.59,56.59,50.0-59.9,EN,2020-12-03T16:00:00.000Z,,,28443.88848,,,,,,,,,,,,,,,
AFR,Africa,BEN,Benin,10.69332195,2010,Sex,Both sexes,BTSX,60.47,60.47,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,31776.05559,,,,,,,,,,,,,,,
AFR,Africa,BEN,Benin,11.38816096,2015,Sex,Both sexes,BTSX,61.96,61.96,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,33799.41769,,,,,,,,,,,,,,,
AFR,Africa,BEN,Benin,14.39168663,2019,Sex,Both sexes,BTSX,63.43,63.43,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,27098.15632,,,,,,,,,,,,,,,
SEAR,South-East Asia,BTN,Bhutan,1.77710132,2010,Sex,Both sexes,BTSX,71.01,71.01,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,1484.176056,,,,,,,,,,,,,,,
SEAR,South-East Asia,BTN,Bhutan,2.00359821,2015,Sex,Both sexes,BTSX,72.15,72.15,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4635.510195,,,,,,,,,,,,,,,
SEAR,South-East Asia,BTN,Bhutan,2.53565707,2019,Sex,Both sexes,BTSX,73.11,73.11,70.0-79.9,EN,2020-12-03T16:00:00.000Z,,,4729.689959,,,,,,,,,,,,,,,
SEAR,South-East Asia,BTN,Bhutan,0.42446409,2000,Sex,Both sexes,BTSX,65.7,65.7,60.0-69.9,EN,2020-12-03T16:00:00.000Z,,,6119.762345,,,,,,,,,,,,,,,
